movie,n_social,n_alone,statistic,p_value,significant,social_mean,alone_mean
Godzilla (1998),151,186,14863.0,0.1755254305892926,False,2.3973509933774833,2.303763440860215
Fight Club (1999),180,297,23685.5,0.9847421508037167,False,3.1555555555555554,3.2794612794612794
The Conjuring (2013),239,318,36481.5,0.7931572332487012,False,2.51255230125523,2.6210691823899372
Top Gun (1986),111,142,8458.0,0.1557660642021415,False,2.7432432432432434,2.6056338028169015
Slackers (2002),39,38,844.0,0.14585694158769963,False,2.3205128205128207,2.0
Shrek (2001),430,558,127441.5,0.04224340348774197,False,3.177906976744186,3.1048387096774195
12 Monkeys (1995),54,75,1898.5,0.7303348800784579,False,2.564814814814815,2.6733333333333333
From Hell (2001),39,45,1084.0,0.03115918849251358,False,2.371794871794872,1.9222222222222223
Dead Poets Society (1989),198,276,25704.0,0.8753603388790587,False,3.227272727272727,3.277173913043478
Once Upon a Time in America (1984),37,50,961.0,0.3790743356604971,False,2.2972972972972974,2.22
Equilibrium (2002),54,56,1553.5,0.4020146291812062,False,2.462962962962963,2.3660714285714284
Star Wars: Episode II - Attack of the Clones (2002),222,295,33527.5,0.3190357030689623,False,2.4774774774774775,2.4305084745762713
The Thing (1982),65,91,2787.5,0.7317452487254252,False,2.292307692307692,2.4065934065934065
Interstellar (2014),259,333,40258.5,0.9239241486067427,False,3.1447876447876446,3.2372372372372373
Full Metal Jacket (1987),66,111,2961.5,0.9849001684659873,False,2.643939393939394,2.936936936936937
Big Fish (2003),96,133,6557.5,0.3614911432628284,False,2.7552083333333335,2.68796992481203
Cool Hand Luke (1967),40,47,924.0,0.5563524058349191,False,2.1625,2.148936170212766
A Beautiful Mind (2001),167,231,19668.5,0.36442272595225034,False,3.2604790419161676,3.2294372294372296
Sholay (1978),42,41,931.0,0.2606984721092972,False,2.6904761904761907,2.524390243902439
The 51st State (2001),32,33,532.0,0.48151424161088136,False,2.25,2.227272727272727
Die Hard With a Vengeance (1995),67,73,2253.5,0.7920750202849512,False,2.470149253731343,2.6301369863013697
Elf (2003),325,449,75115.0,0.23613058169291873,False,3.036923076923077,3.0033407572383073
The Blue Lagoon (1980),78,84,3142.5,0.6754124426943267,False,2.5128205128205128,2.5595238095238093
Hellraiser (1987),49,43,1041.5,0.5392838054382997,False,2.2653061224489797,2.3255813953488373
Moonraker (1979),36,40,711.5,0.5377649370109906,False,2.263888888888889,2.3
Leon (1994),50,74,1757.5,0.6889150091810566,False,3.0,3.081081081081081
Mystic River (2003),33,52,842.5,0.5580754769256407,False,2.5606060606060606,2.548076923076923
Sexy Beast (2000),31,25,386.0,0.5132669540074642,False,2.225806451612903,2.24
Beetle Juice (1988),140,209,14037.5,0.7419900550903651,False,2.5714285714285716,2.727272727272727
Andaz Apna Apna (1994),37,36,723.5,0.2624071813736104,False,2.689189189189189,2.4583333333333335
The Proposal (2009),259,341,49173.0,0.007334335492570062,False,3.164092664092664,2.9794721407624634
The Shining (1980),165,282,19748.5,0.9968287714096101,False,2.8575757575757574,3.1152482269503547
The Land That Time Forgot (1974),42,51,922.0,0.8790910043535964,False,2.4523809523809526,2.6862745098039214
The Perfect Storm (2000),57,82,2309.5,0.5483718676530932,False,2.517543859649123,2.591463414634146
Escape from LA (1996),35,37,587.0,0.7571035200025469,False,2.2142857142857144,2.4054054054054053
Shutter Island (2010),167,251,19995.5,0.7938952860587036,False,3.062874251497006,3.2211155378486054
JFK (1991),44,42,813.5,0.8337182122837269,False,2.397727272727273,2.607142857142857
Barb Wire (1996),27,32,438.0,0.46636845083643536,False,1.9814814814814814,1.9375
Oldboy (2003),58,81,2034.5,0.9155541088328449,False,2.8706896551724137,2.9753086419753085
Carrie (1976),136,187,13559.5,0.15127641313428103,False,2.786764705882353,2.657754010695187
The Good the Bad and the Ugly (1966),77,98,3505.5,0.7931615791833202,False,2.720779220779221,2.8418367346938775
Speed 2: Cruise Control (1997),41,45,939.0,0.44450505583820943,False,2.0609756097560976,2.033333333333333
The Lord of the Rings: The Fellowship of the Ring (2001),218,287,31841.5,0.36261840148477775,False,3.022935779816514,2.991289198606272
The Talented Mr. Ripley (1999),65,80,2221.0,0.9373879307131356,False,2.7384615384615385,2.95625
Casino (1995),44,56,1048.5,0.9020558326112769,False,2.522727272727273,2.7767857142857144
A Time to Kill (1996),36,49,899.5,0.4391746119379379,False,2.5833333333333335,2.5816326530612246
