movie,n_only,n_siblings,statistic,p_value,significant
Bend it Like Beckham (2002),51,319,0.06521605507406725,0.9849309223025394,False
Austin Powers in Goldmember (2002),48,285,0.09934210526315787,0.7710473384991187,False
The Mummy Returns (2001),59,239,0.07368271753776323,0.9390465619453023,False
The Nightmare Before Christmas (1993),88,469,0.0523599534793564,0.9794677747672751,False
La La Land (2016),106,448,0.10545822102425875,0.2734717070204498,False
Flowers in the Attic (1987),24,89,0.1896067415730337,0.4438833443678845,False
28 Days Later (2002),30,146,0.19406392694063923,0.265456498567808,False
The Princess Bride (1987),73,424,0.06338847247350732,0.9479997300394949,False
The Green Mile (1999),30,149,0.23243847874720355,0.10897427933619683,False
Predator (1987),26,153,0.10734037204625446,0.9313252982805921,False
A Night at the Roxbury (1998),19,86,0.1952264381884945,0.5236102056355126,False
Ed Wood (1994),14,54,0.20105820105820105,0.6818572257996214,False
Aliens (1986),35,155,0.10230414746543781,0.8931212587352015,False
Meet the Parents (2000),64,323,0.12083978328173373,0.3808036700927382,False
Independence Day (1996),60,265,0.1251572327044025,0.39133722039622,False
Who Framed Roger Rabbit (1988),41,242,0.13817778673654507,0.4684602438742124,False
As Good as it Gets (1997),19,78,0.20107962213225372,0.4977429271051951,False
Butch Cassidy and the Sundance Kid (1969),16,84,0.25297619047619047,0.3017692202944785,False
You're Next (2011),19,95,0.09473684210526312,0.9976064729763621,False
The Final Conflict (1981),12,43,0.4050387596899224,0.06660261209651804,False
City of God (2002),19,93,0.07357102433503115,0.9999096482326245,False
Star Wars: Episode VII - The Force Awakens (2015),77,405,0.12570145903479246,0.23515369488675286,False
The Transporter (2002),38,152,0.10526315789473684,0.8703820078139665,False
Cast Away (2000),53,274,0.11899187439746595,0.5120254980741342,False
Bad Boys 2 (2003),29,130,0.1562334217506631,0.5467742230621762,False
The Babadook (2014),39,244,0.1473308112652374,0.4134170756280757,False
Saw (2004),61,300,0.0818032786885246,0.8540018930333191,False
Star Wars: Episode VI - The Return of the Jedi (1983),72,378,0.1468253968253968,0.13310972504089674,False
Scary Movie (2000),54,257,0.09179997117740313,0.8079497913239041,False
E.T. The Extra-Terrestrial (1982),94,488,0.04102720613882116,0.9985063276028558,False
American History X (1998),24,99,0.0871212121212121,0.9949156609521923,False
FeardotCom (2002),12,44,0.5075757575757576,0.009721950396850627,False
Halloween (1978),34,167,0.1651990137372314,0.37654056957114823,False
Along Came a Spider (2002),12,56,0.17261904761904756,0.8818336978488678,False
The Mist (2007),43,124,0.10352588147036759,0.840535310623465,False
Aladdin (1992),120,684,0.05935672514619883,0.8412732259846837,False
Pirates of the Caribbean: The Curse of the Black Pearl (2003),112,555,0.06809845559845557,0.7501132013843503,False
Men in Black (1997),98,459,0.09488239740340587,0.4305940435303605,False
Eternal Sunshine of the Spotless Mind (2004),52,244,0.16424968474148804,0.17506488455345517,False
Ocean's Eleven (2001),58,296,0.11777726001863933,0.47132307186506284,False
Men in Black II (2002),90,402,0.053897180762852416,0.9741026836702847,False
Cocktail (1988),12,48,0.25,0.5440742850541684,False
The Wolf of Wall Street (2013),109,552,0.07846363515489962,0.5970987250729791,False
The Game (1997),19,65,0.36356275303643726,0.029879593448831128,False
Red Sonja (1985),13,46,0.2692307692307693,0.3759199864131759,False
One Flew Over the Cuckoo's Nest (1975),44,222,0.1646191646191646,0.24220581128840762,False
Freddy Got Fingered (2001),12,52,0.40384615384615385,0.06195275708883234,False
The Village (2004),22,97,0.09512652296157453,0.9898873829573155,False
Miller's Crossing (1990),14,51,0.13585434173669467,0.9664809705465299,False
My Best Friend's Wedding (1997),34,165,0.2584670231729055,0.037100024970806514,False
Iron Man 3 (2013),112,468,0.11942918192918192,0.1383915034976471,False
Big Daddy (1999),33,198,0.2222222222222222,0.10959238857270318,False
Suspiria (1977),12,53,0.22484276729559743,0.6228632224251094,False
The Passenger (1975),16,79,0.20490506329113922,0.5595656941267768,False
